Name                              Brand            CellType            Efficiency  Length   NominalLength  Width     NominalWidth  Thickness  m    n    Pmax    Vmpp   Impp   Voc    Isc    PmaxTC    NOCT   Weight  Color   Shade Tolerance   Bifacial
FS-4105-2,                        First Solar,     Thin Film,          0.146,      1.2,     1.2,           0.6,      0.6,          0.0068,    20,  10,  105,    67.8,  1.55,  86.0,  1.74,  -0.0034,  45,    12,     Black,  None,             0
FS-4115-2,                        First Solar,     Thin Film,          0.160,      1.2,     1.2,           0.6,      0.6,          0.0068,    20,  10,  115,    70.5,  1.63,  87.8,  1.78,  -0.0034,  45,    12,     Black,  None,             0
FS-4110-3,                        First Solar,     Thin Film,          0.153,      1.2,     1.2,           0.6,      0.6,          0.0068,    20,  10,  110,    67.8,  1.62,  86.4,  1.82,  -0.0028,  45,    12,     Black,  None,             0
FS-4112-3,                        First Solar,     Thin Film,          0.156,      1.2,     1.2,           0.6,      0.6,          0.0068,    20,  10,  112.5,  68.5,  1.64,  87.0,  1.83,  -0.0028,  45,    12,     Black,  None,             0
FS-4115-3,                        First Solar,     Thin Film,          0.160,      1.2,     1.2,           0.6,      0.6,          0.0068,    20,  10,  115,    69.3,  1.66,  87.6,  1.83,  -0.0028,  45,    12,     Black,  None,             0
FS-4117-3,                        First Solar,     Thin Film,          0.163,      1.2,     1.2,           0.6,      0.6,          0.0068,    20,  10,  117.5,  70.1,  1.68,  88.1,  1.83,  -0.0028,  45,    12,     Black,  None,             0
FS-4120-3,                        First Solar,     Thin Film,          0.167,      1.2,     1.2,           0.6,      0.6,          0.0068,    20,  10,  120,    70.8,  1.70,  88.7,  1.84,  -0.0028,  45,    12,     Black,  None,             0
FS-4122-3,                        First Solar,     Thin Film,          0.170,      1.2,     1.2,           0.6,      0.6,          0.0068,    20,  10,  122.5,  71.5,  1.71,  88.7,  1.85,  -0.0028,  45,    12,     Black,  None,             0
FS-6420,                          First Solar,     Thin Film,          0.170,      2.009,   2.0,           1.232,    1.2,          0.0485,    20,  10,  420,   180.4,  2.33,  218.5, 2.54,  -0.0032,  45,    35,     Black,  None,             0
FS-6425,                          First Solar,     Thin Film,          0.172,      2.009,   2.0,           1.232,    1.2,          0.0485,    20,  10,  425,   181.5,  2.34,  218.9, 2.54,  -0.0032,  45,    35,     Black,  None,             0
FS-6430,                          First Solar,     Thin Film,          0.174,      2.009,   2.0,           1.232,    1.2,          0.0485,    20,  10,  430,   182.6,  2.36,  219.2, 2.54,  -0.0032,  45,    35,     Black,  None,             0
FS-6435,                          First Solar,     Thin Film,          0.176,      2.009,   2.0,           1.232,    1.2,          0.0485,    20,  10,  435,   183.6,  2.37,  219.6, 2.55,  -0.0032,  45,    35,     Black,  None,             0
FS-6440,                          First Solar,     Thin Film,          0.178,      2.009,   2.0,           1.232,    1.2,          0.0485,    20,  10,  440,   184.7,  2.38,  220.0, 2.55,  -0.0032,  45,    35,     Black,  None,             0
FS-6445,                          First Solar,     Thin Film,          0.180,      2.009,   2.0,           1.232,    1.2,          0.0485,    20,  10,  445,   185.7,  2.40,  220.4, 2.56,  -0.0032,  45,    35,     Black,  None,             0
FS-6460,                          First Solar,     Thin Film,          0.186,      2.009,   2.0,           1.232,    1.2,          0.0485,    20,  10,  460,   188.8,  2.44,  222.9, 2.59,  -0.0032,  45,    34.5,   Black,  None,             0
FS-6480,                          First Solar,     Thin Film,          0.1905,     2.024,   2.0,           1.245,    1.2,          0.049,     20,  10,  480,   192.8,  2.49,  225.4, 2.62,  -0.0032,  45,    34,     Black,  None,             0
HiS-M280MI,                       Hyundai,         Polycrystalline,    0.1443,     1.965,   1.96,          0.987,    0.99,         0.05,      12,  6,   280,    36.5,  7.7,   44.4,  8.3,   -0.0045,  46,    29,     Blue,   Partial,          0
HiS-S360RI,                       Hyundai,         Monocrystalline,    0.184,      1.96,    1.96,          0.998,    0.99,         0.04,      12,  6,   360,    39.1,  9.2,   47.4,  9.8,   -0.004,   46,    22.9,   Black,  Partial,          0
JAM6(K)-60-300/PR,                JA Solar,        Monocrystalline,    0.1835,     1.65,    1.65,          0.991,    0.99,         0.035,     10,  6,   300,    32.26, 9.30,  39.85, 9.75,  -0.0039,  45,    18,     Black,  Partial,          0
JKM300M-60,                       Jinko,           Monocrystalline,    0.1833,     1.65,    1.65,          0.992,    0.99,         0.04,      10,  6,   300,    32.6,  9.21,  40.1,  9.72,  -0.0039,  45,    19,     Black,  Partial,          0
JKM435M-72HLM-BDVP,               Jinko,           Monocrystalline,    0.1997,     2.096,   2.10,          1.039,    1.04,         0.03,      24,  6,   435,    40.81,10.66,  48.96,11.35,  -0.0035,  45,    28.1,   Black,  Partial,          0.7
JKM440M-72HLM-BDVP,               Jinko,           Monocrystalline,    0.2020,     2.096,   2.10,          1.039,    1.04,         0.03,      24,  6,   440,    41.01,10.73,  49.16,11.42,  -0.0035,  45,    28.1,   Black,  Partial,          0.7
JKM445M-72HLM-BDVP,               Jinko,           Monocrystalline,    0.2043,     2.096,   2.10,          1.039,    1.04,         0.03,      24,  6,   445,    41.21,10.80,  49.36,11.49,  -0.0035,  45,    28.1,   Black,  Partial,          0.7
JKM450M-72HLM-BDVP,               Jinko,           Monocrystalline,    0.2066,     2.096,   2.10,          1.039,    1.04,         0.03,      24,  6,   450,    41.40,10.87,  49.56,11.56,  -0.0035,  45,    28.1,   Black,  Partial,          0.7
JKM455M-72HLM-BDVP,               Jinko,           Monocrystalline,    0.2089,     2.096,   2.10,          1.039,    1.04,         0.03,      24,  6,   455,    41.59,10.94,  49.76,11.63,  -0.0035,  45,    28.1,   Black,  Partial,          0.7
LG300N1C-B3,                      LG,              Monocrystalline,    0.1829,     1.64,    1.65,          1,        0.99,         0.035,     10,  6,   300,    32,    9.4,   39.8,  9.98,  -0.0041,  45,    16.8,   Black,  Partial,          0
LG350Q1K-A5,                      LG,              Monocrystalline,    0.203,      1.7,     1.65,          1.016,    0.99,         0.04,      10,  6,   350,    36.2,  9.68,  42.9,  10.39, -0.003,   44,    18.5,   Black,  Partial,          0
LG455N2W-E6,                      LG,              Monocrystalline,    0.207,      2.11,    2.11,          1.042,    1.04,         0.04,      24,  6,   455,    42.1, 10.83,  49.9,  11.39, -0.0033,  42,    22,     Black,  Partial,          0
LG440N2T-E6,                      LG,              Monocrystalline,    0.198,      2.13,    2.13,          1.042,    1.04,         0.04,      24,  6,   440,    40.8, 10.79,  48.9,  11.18, -0.0033,  42,    22,     Black,  Partial,          0.7
OPT340-72-4-100,                  Suniva,          Monocrystalline,    0.1743,     1.97,    1.96,          0.99,     0.99,         0.038,     12,  6,   340,    37.8,  8.99,  46.0,  9.78,  -0.0042,  46,    23,     Black,  Partial,          0
PV-UJ235GA6,                      Mitsubishi,      Polycrystalline,    0.143,      1.658,   1.65,          0.994,    0.99,         0.046,     10,  6,   235,    30.5,  7.71,  36.8,  8.49,  -0.0045,  47,    20,     Blue,   Partial,          0
Q.PRO-G4 265,                     Q-Cells,         Polycrystalline,    0.1587,     1.67,    1.65,          1.0,      0.99,         0.032,     10,  6,   265,    30.75, 8.62,  38.01, 9.23,  -0.0041,  45,    18.8,   Blue,   Partial,          0
Q.PEAK DUO BLK-G10+ 350,          Q-Cells,         Monocrystalline,    0.195,      1.717,   1.72,          1.045,    1.05,         0.032,     20,  6,   350,    33.76,10.37,  41.11,10.97,  -0.0034,  43,    19.9,   Black,  Partial,          0
Q.PEAK DUO BLK-G10+ 355,          Q-Cells,         Monocrystalline,    0.198,      1.717,   1.72,          1.045,    1.05,         0.032,     20,  6,   355,    34.03,10.43,  41.14,11.00,  -0.0034,  43,    19.9,   Black,  Partial,          0
Q.PEAK DUO BLK-G10+ 360,          Q-Cells,         Monocrystalline,    0.201,      1.717,   1.72,          1.045,    1.05,         0.032,     20,  6,   360,    34.31,10.49,  41.18,11.04,  -0.0034,  43,    19.9,   Black,  Partial,          0
